Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@gossama,10:21 PM - 24 May 2010,oh hai @HUD_B :) how u been babe? watching that link now  #feralC, ,https://twitter.com/gossama/status/14664263196
@HUD_B,10:18 PM - 24 May 2010,hi goss!!!!!!!!! i'm here:)) )))<3 hey look at this if ur bored!!!!!!!! http://www.youtube.com/watch?v=nUQsRPJ1dYw *WoooOOFFFFFFff*#feralC, ,https://twitter.com/HUD_B/status/14664105282
@gossama,10:12 PM - 24 May 2010,sess5  = long time comin' + thurs seems agggGGGes awai. any of u peeps awake? #feralC, ,https://twitter.com/gossama/status/14663742442
@gossama,8:26 PM - 23 May 2010,w00Tage! @pupa_mistress. nice work...wot about @Miss_Stressa? she back?  #feralC, ,https://twitter.com/gossama/status/14588617365
@gossama,4:41 PM - 23 May 2010,{Gossama] Obtained [Rock-Steady Treads]. #feralC, ,https://twitter.com/gossama/status/14577684982
@gossama,4:39 PM - 23 May 2010,{Gossama] Has now completed [Deathbringer kills (Icecrown 10 player)] 5 times. #feralC, ,https://twitter.com/gossama/status/14577605960
@gossama,4:37 PM - 23 May 2010,{Gossama] Has now completed [Gunship Battle victories (Icecrown 10 player)] 5 times. #feralC, ,https://twitter.com/gossama/status/14577549842
@gossama,4:36 PM - 23 May 2010,{Gossama] Obtained [Whispering Fanged Skull]. #feralC, ,https://twitter.com/gossama/status/14577501384
@shadowmcclone,9:30 AM - 22 May 2010,#FERALC MAN DOWN EH? SNAFU, ,https://twitter.com/shadowmcclone/status/14493354154
@gossama,9:28 AM - 22 May 2010,cheeze-uz x christ @pupa_mistress !! we b droppin like flies...1st @Miss_Stressa goes AWOL + now @QReada?? sheesh #feralC, ,https://twitter.com/gossama/status/14493245418
@QReada,9:25 AM - 22 May 2010,[1 BAG-1 BAG 1-] http://qrcode.kaywa.com/img.php?s=8&d=%0D%0A[1%20BAG-1%20BAG%201-] #feralC, ,https://twitter.com/QReada/status/14493107919
@gossama,9:23 AM - 22 May 2010,wtf is going on!? #feralC, ,https://twitter.com/gossama/status/14493051873
@QReada,9:23 AM - 22 May 2010,[2 BAGS BOOMX] http://qrcode.kaywa.com/img.php?s=8&d=[2%20BAGS%20BOOM!] #feralC, ,https://twitter.com/QReada/status/14493033989
@QReada,9:21 AM - 22 May 2010,[3 BAGS FULLEUR] http://qrcode.kaywa.com/img.php?s=8&d=[3%20BAGS%20FULLEUR] #feralC, ,https://twitter.com/QReada/status/14492931725
@QReada,9:19 AM - 22 May 2010,[MIRXORED MARXON SLIPPERS FILLED WITH UXRIPE BLOOD PLUMX] http://bit.ly/cRIlAf #feralC, ,https://twitter.com/QReada/status/14492857655
@QReada,9:12 AM - 22 May 2010,[SMAXL SUEDE TAN XAT WITH SXNDPAPER CLAWS] http://bit.ly/c9VlDQ #feralC, ,https://twitter.com/QReada/status/14492545988
@QReada,9:11 AM - 22 May 2010,[LET THEM EXT CACHE] http://qrcode.kaywa.com/img.php?s=8&d=[LET%20THEM%20EAT%20CACHE] #feralC, ,https://twitter.com/QReada/status/14492466584
